"EMPLOYMENT STATUS - IMPUTATION REVISED","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"2 - Employed part time","TN","0.002","0.0003","0.002","0.003","0.018","0.0022","0.014","0.023","0.107","0.0116","0.087","0.132","636000","N/A","75000"
"3 - Unemployed","TN","0.001","0.0001","0.001","0.001","0.016","0.0027","0.011","0.022","0.037","0.0063","0.026","0.051","216000","N/A","37000"
"4 - Other","TN","0.008","0.0007","0.007","0.009","0.022","0.0018","0.019","0.026","0.381","0.0205","0.342","0.422","2258000","N/A","187000"
"99 - 12-14 year olds","TN","0.001","0.0001","0.001","0.001","0.019","0.002","0.016","0.024","0.043","0.0045","0.035","0.053","254000","N/A","26000"
"Overall","TX","0.087","0.0037","0.08","0.095","0.087","0.0037","0.08","0.095","1","0","N/A","N/A","24492000","N/A","1109000"
"1 - Employed full time","TX","0.036","0.0017","0.033","0.04","0.087","0.004","0.08","0.096","0.417","0.01","0.398","0.437","10217000","N/A","506000"
"2 - Employed part time","TX","0.01","0.0006","0.009","0.011","0.082","0.0044","0.074","0.091","0.117","0.0053","0.107","0.127","2854000","N/A","159000"
"3 - Unemployed","TX","0.004","0.0005","0.004","0.005","0.092","0.0092","0.076","0.112","0.051","0.0043","0.043","0.06","1246000","N/A","131000"
"4 - Other","TX","0.031","0.0017","0.028","0.035","0.086","0.0045","0.077","0.095","0.36","0.0103","0.34","0.381","8822000","N/A","501000"
"99 - 12-14 year olds","TX","0.005","0.0003","0.004","0.006","0.103","0.007","0.091","0.118","0.055","0.0034","0.049","0.062","1352000","N/A","96000"
"Overall","UT","0.01","0.0007","0.008","0.011","0.01","0.0007","0.008","0.011","1","0","N/A","N/A","2735000","N/A","209000"
"1 - Employed full time","UT","0.004","0.0004","0.004","0.005","0.011","0.0009","0.009","0.012","0.455","0.0163","0.423","0.487","1243000","N/A","101000"
"2 - Employed part time","UT","0.002","0.0002","0.001","0.002","0.013","0.0014","0.011","0.016","0.167","0.0092","0.149","0.186","456000","N/A","47000"
"3 - Unemployed","UT","0","0","0","0","0.005","0.0007","0.004","0.006","0.024","0.0031","0.018","0.031","65000","N/A","9000"
"4 - Other","UT","0.003","0.0003","0.002","0.003","0.008","0.0007","0.006","0.009","0.287","0.0143","0.26","0.316","786000","N/A","71000"
"99 - 12-14 year olds","UT","0.001","0.0001","0.001","0.001","0.014","0.0016","0.011","0.018","0.068","0.0052","0.058","0.079","185000","N/A","21000"
"Overall","VA","0.026","0.0014","0.023","0.029","0.026","0.0014","0.023","0.029","1","0","N/A","N/A","7254000","N/A","382000"
"1 - Employed full time","VA","0.012","0.0008","0.011","0.014","0.029","0.0019","0.025","0.033","0.464","0.0139","0.437","0.491","3364000","N/A","222000"
"2 - Employed part time","VA","0.003","0.0002","0.003","0.004","0.024","0.002","0.02","0.028","0.116","0.0085","0.1","0.133","838000","N/A","70000"
