"RC-ADULT AGE CATEGORY RECODE","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"3 - 35-49 Years Old","CA","0.027","0.0013","0.025","0.03","0.122","0.0056","0.112","0.134","0.235","0.0081","0.219","0.251","7839000","N/A","398000"
"4 - 50 or Older","CA","0.047","0.0022","0.043","0.051","0.111","0.0052","0.101","0.121","0.401","0.0116","0.379","0.424","13388000","N/A","677000"
"5 - 12-17 Years Old","CA","0.011","0.0006","0.009","0.012","0.117","0.0066","0.105","0.131","0.091","0.0043","0.083","0.1","3042000","N/A","188000"
"Overall","CO","0.018","0.0013","0.015","0.02","0.018","0.0013","0.015","0.02","1","0","N/A","N/A","5050000","N/A","384000"
"1 - 18-25 Years Old","CO","0.002","0.0002","0.002","0.003","0.018","0.0019","0.014","0.022","0.121","0.0093","0.104","0.14","610000","N/A","66000"
"2 - 26-34 Years Old","CO","0.003","0.0004","0.002","0.004","0.02","0.0027","0.016","0.026","0.163","0.0177","0.131","0.201","823000","N/A","111000"
"3 - 35-49 Years Old","CO","0.004","0.0004","0.004","0.005","0.019","0.0018","0.016","0.023","0.241","0.0162","0.211","0.275","1219000","N/A","120000"
"4 - 50 or Older","CO","0.007","0.0007","0.006","0.008","0.016","0.0017","0.013","0.02","0.389","0.0265","0.338","0.442","1964000","N/A","211000"
"5 - 12-17 Years Old","CO","0.002","0.0002","0.001","0.002","0.017","0.0017","0.014","0.02","0.086","0.0083","0.071","0.104","435000","N/A","44000"
"Overall","CT","0.011","0.001","0.009","0.013","0.011","0.001","0.009","0.013","1","0","N/A","N/A","3146000","N/A","275000"
"1 - 18-25 Years Old","CT","0.001","0.0002","0.001","0.002","0.011","0.0013","0.009","0.014","0.121","0.0113","0.1","0.145","380000","N/A","46000"
"2 - 26-34 Years Old","CT","0.001","0.0002","0.001","0.002","0.01","0.0015","0.007","0.013","0.13","0.0146","0.104","0.161","408000","N/A","61000"
"3 - 35-49 Years Old","CT","0.002","0.0002","0.002","0.003","0.011","0.001","0.009","0.013","0.215","0.0142","0.189","0.245","678000","N/A","63000"
"4 - 50 or Older","CT","0.005","0.0006","0.004","0.006","0.012","0.0014","0.009","0.015","0.45","0.0288","0.394","0.507","1415000","N/A","166000"
"5 - 12-17 Years Old","CT","0.001","0.0001","0.001","0.001","0.01","0.0011","0.008","0.013","0.084","0.007","0.071","0.099","265000","N/A","27000"
"Overall","DC","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","591000","N/A","41000"
"1 - 18-25 Years Old","DC","0","0","0","0","0.002","0.0002","0.002","0.003","0.137","0.0125","0.114","0.164","81000","N/A","7000"
"2 - 26-34 Years Old","DC","0","0.0001","0","0.001","0.003","0.0004","0.003","0.004","0.227","0.0217","0.187","0.272","134000","N/A","17000"
"3 - 35-49 Years Old","DC","0.001","0.0001","0","0.001","0.002","0.0002","0.002","0.003","0.259","0.0185","0.225","0.297","153000","N/A","15000"
"4 - 50 or Older","DC","0.001","0.0001","0.001","0.001","0.002","0.0002","0.001","0.002","0.314","0.0228","0.271","0.36","185000","N/A","20000"
"5 - 12-17 Years Old","DC","0","0","0","0","0.001","0.0002","0.001","0.002","0.063","0.007","0.051","0.078","37000","N/A","4000"
"Overall","DE","0.003","0.0002","0.003","0.003","0.003","0.0002","0.003","0.003","1","0","N/A","N/A","892000","N/A","42000"
"1 - 18-25 Years Old","DE","0","0","0","0","0.003","0.0004","0.002","0.004","0.11","0.0128","0.087","0.137","98000","N/A","12000"
"2 - 26-34 Years Old","DE","0","0","0","0","0.003","0.0003","0.002","0.003","0.128","0.0102","0.109","0.149","114000","N/A","11000"
