"EMPLOYMENT STATUS - IMPUTATION REVISED","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"2 - Employed part time","PA","0.006","0.0003","0.005","0.006","0.044","0.0026","0.039","0.049","0.143","0.008","0.128","0.16","1557000","N/A","94000"
"3 - Unemployed","PA","0.001","0.0001","0.001","0.002","0.034","0.0034","0.028","0.042","0.035","0.0033","0.029","0.043","386000","N/A","39000"
"4 - Other","PA","0.013","0.0007","0.012","0.015","0.04","0.002","0.036","0.044","0.332","0.0118","0.309","0.356","3613000","N/A","183000"
"99 - 12-14 year olds","PA","0.002","0.0001","0.001","0.002","0.036","0.0021","0.032","0.04","0.041","0.0022","0.037","0.045","443000","N/A","26000"
"Overall","RI","0.003","0.0002","0.003","0.004","0.003","0.0002","0.003","0.004","1","0","N/A","N/A","910000","N/A","43000"
"1 - Employed full time","RI","0.002","0.0001","0.001","0.002","0.003","0.0002","0.003","0.004","0.476","0.0182","0.44","0.511","433000","N/A","27000"
"2 - Employed part time","RI","0","0","0","0.001","0.003","0.0004","0.003","0.004","0.135","0.0133","0.111","0.163","123000","N/A","13000"
"3 - Unemployed","RI","0","0","0","0","0.004","0.0006","0.003","0.005","0.046","0.0066","0.034","0.06","42000","N/A","6000"
"4 - Other","RI","0.001","0.0001","0.001","0.001","0.003","0.0002","0.003","0.004","0.301","0.0174","0.268","0.336","274000","N/A","22000"
"99 - 12-14 year olds","RI","0","0","0","0","0.003","0.0003","0.003","0.004","0.043","0.0038","0.036","0.051","39000","N/A","4000"
"Overall","SC","0.016","0.0008","0.014","0.017","0.016","0.0008","0.014","0.017","1","0","N/A","N/A","4289000","N/A","210000"
"1 - Employed full time","SC","0.007","0.0004","0.006","0.007","0.015","0.0008","0.013","0.016","0.428","0.0171","0.394","0.461","1834000","N/A","97000"
"2 - Employed part time","SC","0.002","0.0002","0.002","0.002","0.014","0.0015","0.012","0.018","0.118","0.011","0.098","0.142","508000","N/A","54000"
"3 - Unemployed","SC","0.001","0.0001","0","0.001","0.013","0.0019","0.01","0.018","0.035","0.0046","0.027","0.045","150000","N/A","22000"
"4 - Other","SC","0.006","0.0005","0.005","0.007","0.018","0.0014","0.015","0.021","0.377","0.019","0.34","0.415","1617000","N/A","129000"
"99 - 12-14 year olds","SC","0.001","0.0001","0.001","0.001","0.015","0.0012","0.013","0.017","0.042","0.0031","0.036","0.049","180000","N/A","14000"
"Overall","SD","0.003","0.0001","0.002","0.003","0.003","0.0001","0.002","0.003","1","0","N/A","N/A","718000","N/A","41000"
"1 - Employed full time","SD","0.001","0.0001","0.001","0.002","0.003","0.0002","0.003","0.004","0.533","0.0188","0.496","0.57","383000","N/A","28000"
"2 - Employed part time","SD","0","0","0","0","0.003","0.0003","0.002","0.003","0.128","0.011","0.108","0.151","92000","N/A","9000"
"3 - Unemployed","SD","0","0","0","0","0.002","0.0004","0.002","0.003","0.036","0.0059","0.026","0.049","26000","N/A","4000"
"4 - Other","SD","0.001","0.0001","0.001","0.001","0.002","0.0002","0.002","0.002","0.253","0.0154","0.224","0.284","182000","N/A","14000"
"99 - 12-14 year olds","SD","0","0","0","0","0.003","0.0003","0.002","0.003","0.05","0.0042","0.042","0.059","36000","N/A","3000"
"Overall","TN","0.021","0.001","0.019","0.023","0.021","0.001","0.019","0.023","1","0","N/A","N/A","5699000","N/A","267000"
"1 - Employed full time","TN","0.01","0.0006","0.008","0.011","0.021","0.0013","0.019","0.024","0.463","0.0165","0.431","0.496","2640000","N/A","169000"
"2 - Employed part time","TN","0.003","0.0003","0.002","0.003","0.022","0.0023","0.017","0.027","0.134","0.0123","0.112","0.16","763000","N/A","84000"
"3 - Unemployed","TN","0.001","0.0001","0.001","0.001","0.017","0.0024","0.012","0.022","0.033","0.005","0.024","0.044","187000","N/A","27000"
"4 - Other","TN","0.007","0.0005","0.006","0.008","0.021","0.0014","0.018","0.023","0.328","0.0177","0.294","0.363","1869000","N/A","124000"
"99 - 12-14 year olds","TN","0.001","0.0001","0.001","0.001","0.02","0.0018","0.016","0.023","0.042","0.004","0.035","0.051","241000","N/A","22000"
"Overall","TX","0.085","0.0022","0.081","0.09","0.085","0.0022","0.081","0.09","1","0","N/A","N/A","23465000","N/A","649000"
"1 - Employed full time","TX","0.04","0.0013","0.037","0.042","0.087","0.0027","0.082","0.092","0.462","0.0087","0.445","0.48","10850000","N/A","362000"
"2 - Employed part time","TX","0.009","0.0005","0.008","0.011","0.073","0.0039","0.066","0.081","0.111","0.0052","0.101","0.121","2595000","N/A","144000"
"3 - Unemployed","TX","0.004","0.0003","0.003","0.004","0.094","0.0066","0.082","0.107","0.045","0.0032","0.039","0.052","1057000","N/A","78000"
"4 - Other","TX","0.028","0.0011","0.026","0.031","0.086","0.0033","0.079","0.092","0.331","0.0089","0.314","0.349","7777000","N/A","313000"
"99 - 12-14 year olds","TX","0.004","0.0002","0.004","0.005","0.097","0.0048","0.087","0.106","0.051","0.0027","0.045","0.056","1186000","N/A","65000"
"Overall","UT","0.009","0.0003","0.009","0.01","0.009","0.0003","0.009","0.01","1","0","N/A","N/A","2540000","N/A","93000"
"1 - Employed full time","UT","0.004","0.0002","0.004","0.005","0.01","0.0005","0.009","0.011","0.476","0.0163","0.444","0.508","1209000","N/A","56000"
"2 - Employed part time","UT","0.002","0.0001","0.001","0.002","0.012","0.0009","0.011","0.014","0.172","0.01","0.153","0.192","436000","N/A","31000"
"3 - Unemployed","UT","0","0","0","0","0.007","0.001","0.005","0.009","0.03","0.0042","0.022","0.039","75000","N/A","11000"
"4 - Other","UT","0.002","0.0002","0.002","0.003","0.007","0.0005","0.006","0.009","0.264","0.0158","0.234","0.296","671000","N/A","49000"
"99 - 12-14 year olds","UT","0.001","0","0","0.001","0.012","0.001","0.01","0.014","0.059","0.0044","0.051","0.068","149000","N/A","13000"
"Overall","VA","0.026","0.001","0.024","0.028","0.026","0.001","0.024","0.028","1","0","N/A","N/A","7081000","N/A","284000"
"1 - Employed full time","VA","0.013","0.0007","0.011","0.014","0.028","0.0014","0.025","0.031","0.487","0.016","0.456","0.519","3450000","N/A","180000"
"2 - Employed part time","VA","0.003","0.0003","0.003","0.004","0.025","0.0022","0.021","0.03","0.127","0.0095","0.109","0.147","897000","N/A","79000"
"3 - Unemployed","VA","0.001","0.0001","0.001","0.001","0.019","0.0028","0.014","0.025","0.03","0.0042","0.023","0.04","215000","N/A","32000"
"4 - Other","VA","0.008","0.0005","0.007","0.009","0.024","0.0016","0.021","0.028","0.311","0.0174","0.278","0.346","2201000","N/A","148000"
"99 - 12-14 year olds","VA","0.001","0.0001","0.001","0.001","0.026","0.0018","0.023","0.03","0.045","0.0027","0.04","0.05","317000","N/A","22000"
"Overall","VT","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","546000","N/A","25000"
"1 - Employed full time","VT","0.001","0","0.001","0.001","0.002","0.0001","0.002","0.002","0.474","0.0185","0.437","0.51","258000","N/A","13000"
"2 - Employed part time","VT","0","0","0","0","0.003","0.0003","0.002","0.003","0.172","0.0151","0.144","0.203","94000","N/A","10000"
"3 - Unemployed","VT","0","0","0","0","0.001","0.0002","0.001","0.001","0.022","0.0033","0.017","0.03","12000","N/A","2000"
"4 - Other","VT","0.001","0","0.001","0.001","0.002","0.0001","0.002","0.002","0.3","0.0167","0.268","0.334","164000","N/A","13000"
"99 - 12-14 year olds","VT","0","0","0","0","0.001","0.0001","0.001","0.002","0.032","0.0025","0.028","0.038","18000","N/A","1000"
"Overall","WA","0.023","0.0009","0.021","0.025","0.023","0.0009","0.021","0.025","1","0","N/A","N/A","6350000","N/A","262000"
"1 - Employed full time","WA","0.01","0.0006","0.009","0.011","0.022","0.0013","0.02","0.025","0.442","0.0187","0.405","0.479","2805000","N/A","167000"
"2 - Employed part time","WA","0.003","0.0003","0.003","0.004","0.025","0.0022","0.021","0.03","0.139","0.0103","0.12","0.16","882000","N/A","81000"
"3 - Unemployed","WA","0.001","0.0002","0.001","0.001","0.021","0.0041","0.015","0.031","0.038","0.0074","0.026","0.056","242000","N/A","46000"
"4 - Other","WA","0.008","0.0005","0.007","0.009","0.024","0.0016","0.021","0.027","0.338","0.0192","0.301","0.377","2146000","N/A","151000"
"99 - 12-14 year olds","WA","0.001","0.0001","0.001","0.001","0.022","0.002","0.019","0.027","0.043","0.0039","0.036","0.052","274000","N/A","24000"
"Overall","WI","0.018","0.0008","0.016","0.02","0.018","0.0008","0.016","0.02","1","0","N/A","N/A","4920000","N/A","226000"
"1 - Employed full time","WI","0.009","0.0005","0.008","0.01","0.02","0.0011","0.018","0.022","0.509","0.0165","0.477","0.541","2504000","N/A","144000"
"2 - Employed part time","WI","0.002","0.0002","0.002","0.003","0.017","0.0014","0.015","0.02","0.125","0.0082","0.109","0.142","614000","N/A","50000"
"3 - Unemployed","WI","0","0.0001","0","0.001","0.011","0.0019","0.008","0.015","0.026","0.0043","0.018","0.035","126000","N/A","21000"
"4 - Other","WI","0.005","0.0004","0.005","0.006","0.016","0.0012","0.014","0.019","0.294","0.0178","0.261","0.33","1447000","N/A","112000"
"99 - 12-14 year olds","WI","0.001","0.0001","0.001","0.001","0.019","0.0014","0.016","0.022","0.047","0.0038","0.04","0.055","229000","N/A","18000"
"Overall","WV","0.006","0.0003","0.005","0.006","0.006","0.0003","0.005","0.006","1","0","N/A","N/A","1534000","N/A","74000"
"1 - Employed full time","WV","0.002","0.0001","0.002","0.002","0.005","0.0003","0.004","0.005","0.373","0.017","0.341","0.407","573000","N/A","36000"
"2 - Employed part time","WV","0.001","0.0001","0","0.001","0.005","0.0006","0.004","0.006","0.106","0.0118","0.085","0.132","163000","N/A","20000"
"3 - Unemployed","WV","0","0","0","0","0.005","0.0007","0.004","0.007","0.04","0.0049","0.032","0.051","62000","N/A","8000"
"4 - Other","WV","0.002","0.0002","0.002","0.003","0.007","0.0005","0.006","0.009","0.44","0.0224","0.396","0.484","675000","N/A","49000"
"99 - 12-14 year olds","WV","0","0","0","0","0.005","0.0004","0.004","0.006","0.04","0.0033","0.034","0.047","62000","N/A","5000"
"Overall","WY","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","479000","N/A","19000"
"1 - Employed full time","WY","0.001","0","0.001","0.001","0.002","0.0001","0.002","0.002","0.5","0.0136","0.473","0.526","240000","N/A","11000"
"2 - Employed part time","WY","0","0","0","0","0.002","0.0002","0.001","0.002","0.133","0.0117","0.111","0.158","64000","N/A","6000"
"3 - Unemployed","WY","0","0","0","0","0.001","0.0002","0.001","0.002","0.027","0.0039","0.021","0.036","13000","N/A","2000"
"4 - Other","WY","0.001","0","0","0.001","0.002","0.0001","0.001","0.002","0.294","0.0146","0.266","0.324","141000","N/A","10000"
"99 - 12-14 year olds","WY","0","0","0","0","0.002","0.0001","0.002","0.002","0.046","0.0038","0.039","0.054","22000","N/A","2000"
